site.number,sample.id,year,month,variable,val,agent.number
10,90510,2009,5,d18O,-5.76,30803
10,90610,2009,6,d18O,-7.14,30803
10,90710,2009,7,d18O,-8.95,30803
10,90810,2009,8,d18O,-5.78,30803
10,91010,2009,10,d18O,-3.85,30803
10,91110,2009,11,d18O,-0.56,30803
11,70811,2007,8,d18O,-4.54,21812
11,70911,2007,9,d18O,-3.22,21812
11,71011,2007,10,d18O,-3.14,21812
11,71111,2007,11,d18O,-4,21812
11,71211,2007,12,d18O,-2.54,21812
11,80111,2008,1,d18O,-2.51,21812
11,80211,2008,2,d18O,-4.17,21812
11,80311,2008,3,d18O,-7.19,21812
11,80411,2008,4,d18O,-5.09,21812
11,80511,2008,5,d18O,-8.73,21812
11,80611,2008,6,d18O,-5.68,21812
11,80711,2008,7,d18O,-7.18,21812
11,80811,2008,8,d18O,-6.56,21812
11,80911,2008,9,d18O,-3.73,21812
11,81011,2008,10,d18O,-3.82,21812
11,81111,2008,11,d18O,-3.04,21812
11,81211,2008,12,d18O,-9.11,21812
11,90111,2009,1,d18O,-2.57,21812
11,90211,2009,2,d18O,-6.27,21812
11,90311,2009,3,d18O,-3.5,21812
11,90411,2009,4,d18O,-4.79,21812
11,90511,2009,5,d18O,-3.29,21812
11,90611,2009,6,d18O,-6.61,21812
11,90711,2009,7,d18O,-8.82,21812
11,90811,2009,8,d18O,-5.84,21812
11,90911,2009,9,d18O,-4.12,21812
11,91011,2009,10,d18O,-4.56,21812
11,91111,2009,11,d18O,-0.26,21812
11,91211,2009,12,d18O,-3.65,21812
12,X0113,2010,1,d18O,-5.11,21630
13,70813,2007,8,d18O,-6.33,21630
13,70913,2007,9,d18O,-2.4,21630
13,71013,2007,10,d18O,-2.97,21630
13,71113,2007,11,d18O,-2.38,21630
13,71213,2007,12,d18O,-3.35,21630
13,80113,2008,1,d18O,-4.43,21630
13,80213,2008,2,d18O,-5.66,21630
13,80513,2008,5,d18O,-7.1,21630
13,80613,2008,6,d18O,-4.85,21630
13,80713,2008,7,d18O,-6.2,21630
13,80813,2008,8,d18O,-6.13,21630
13,80913,2008,9,d18O,-4.17,21630
13,81013,2008,10,d18O,-3.86,21630
13,81113,2008,11,d18O,-3.06,21630
13,81213,2008,12,d18O,-6.48,21630
13,90113,2009,1,d18O,-7.3,21630
13,90313,2009,3,d18O,-3.67,21630
13,90413,2009,4,d18O,-5.18,21630
13,90513,2009,5,d18O,-6.24,21630
13,90613,2009,6,d18O,-7.01,21630
13,90713,2009,7,d18O,-6.24,21630
13,90813,2009,8,d18O,-5.18,21630
13,90913,2009,9,d18O,-5.21,21630
13,91013,2009,10,d18O,-3.44,21630
13,91113,2009,11,d18O,-3.71,21630
13,91213,2009,12,d18O,-2.39,21630
13,X0213,2010,2,d18O,-1.08,21630
14,70814,2007,8,d18O,-4.04,29309
14,70914,2007,9,d18O,-4.2,29309
14,71014,2007,10,d18O,-3.36,29309
14,71114,2007,11,d18O,-2.12,29309
14,71214,2007,12,d18O,-2.39,29309
14,80114,2008,1,d18O,,29309
14,80214,2008,2,d18O,-4.16,29309
14,80314,2008,3,d18O,-3.57,29309
14,80414,2008,4,d18O,-4.8,29309
14,80514,2008,5,d18O,-7.19,29309
14,80614,2008,6,d18O,-5.76,29309
14,80714,2008,7,d18O,-8.06,29309
14,80814,2008,8,d18O,-6.66,29309
14,80914,2008,9,d18O,-5.83,29309
14,81114,2008,11,d18O,-5.19,29309
14,90114,2009,1,d18O,-3.35,29309
14,90214,2009,2,d18O,-6.82,29309
14,90314,2009,3,d18O,-1.9,29309
14,90414,2009,4,d18O,-5.41,29309
14,90514,2009,5,d18O,-7.05,29309
14,90614,2009,6,d18O,-7.98,29309
14,90714,2009,7,d18O,-8.75,29309
14,90814,2009,8,d18O,-5.54,29309
14,90914,2009,9,d18O,-4.06,29309
14,91014,2009,10,d18O,-4.96,29309
14,91114,2009,11,d18O,-1.14,29309
14,91214,2009,12,d18O,-4.75,29309
14,X0114,2010,1,d18O,-4,29309
15,70815,2007,8,d18O,-4.68,28291
15,70915,2007,9,d18O,-5.09,28291
15,71015,2007,10,d18O,-2.17,28291
15,71115,2007,11,d18O,-2.73,28291
15,71215,2007,12,d18O,-3.18,28291
15,80115,2008,1,d18O,-1.73,28291
15,80215,2008,2,d18O,-3.79,28291
15,80315,2008,3,d18O,-2.04,28291
15,80415,2008,4,d18O,-3.82,28291
15,80515,2008,5,d18O,-9.1,28291
15,80615,2008,6,d18O,-6.07,28291
15,80715,2008,7,d18O,-7.41,28291
15,80815,2008,8,d18O,-4.88,28291
15,80915,2008,9,d18O,-5.45,28291
15,81015,2008,10,d18O,-6.11,28291
15,81115,2008,11,d18O,-3.69,28291
15,81215,2008,12,d18O,-4.25,28291
15,90115,2009,1,d18O,-3.09,28291
15,90215,2009,2,d18O,-5.73,28291
15,90315,2009,3,d18O,-1.99,28291
15,90415,2009,4,d18O,-6.98,28291
15,90515,2009,5,d18O,-5.75,28291
15,90615,2009,6,d18O,-6.75,28291
15,90715,2009,7,d18O,-10.06,28291
15,90815,2009,8,d18O,-5.33,28291
15,90915,2009,9,d18O,-3.74,28291
15,91015,2009,10,d18O,-3.84,28291
15,91115,2009,11,d18O,-1.54,28291
15,91215,2009,12,d18O,-4.14,28291
15,X0115,2010,1,d18O,-4.67,28291
16,70816,2007,8,d18O,-9.35,28760
16,70916,2007,9,d18O,-4.68,28760
16,71116,2007,11,d18O,-7.24,28760
16,71216,2007,12,d18O,-3.71,28760
16,80116,2008,1,d18O,-5.3,28760
16,80216,2008,2,d18O,-5.58,28760
16,80316,2008,3,d18O,-5.11,28760
16,80516,2008,5,d18O,-7.62,28760
16,80616,2008,6,d18O,-5.46,28760
16,80716,2008,7,d18O,-7.34,28760
16,80816,2008,8,d18O,-5.9,28760
16,80916,2008,9,d18O,-5.87,28760
16,81016,2008,10,d18O,-4.89,28760
16,81116,2008,11,d18O,-4.45,28760
16,81216,2008,12,d18O,-4.41,28760
16,90116,2009,1,d18O,-3.85,28760
16,90216,2009,2,d18O,-4.22,28760
16,90316,2009,3,d18O,-2.35,28760
16,90416,2009,4,d18O,-5.24,28760
16,90516,2009,5,d18O,-5.59,28760
16,90616,2009,6,d18O,-7.61,28760
16,90716,2009,7,d18O,-10.01,28760
16,90816,2009,8,d18O,-4.45,28760
16,90916,2009,9,d18O,-3.55,28760
16,91116,2009,11,d18O,-1.55,28760
17,70817,2007,8,d18O,-4.92,27691
17,70917,2007,9,d18O,-4.31,27691
17,71017,2007,10,d18O,-3.32,27691
17,71117,2007,11,d18O,-2.23,27691
17,71217,2007,12,d18O,-3.37,27691
17,80117,2008,1,d18O,-0.98,27691
17,80217,2008,2,d18O,-4.75,27691
17,80417,2008,4,d18O,-7.61,27691
17,80517,2008,5,d18O,-6.16,27691
17,80617,2008,6,d18O,-7.32,27691
17,80717,2008,7,d18O,-7.23,27691
